0,01;4485,50
0,02;4479,46
0,04;4485,50
0,06;4261,83
0,08;4068,39
0,09;3929,35
0,11;3747,99
0,20;3282,52
0,28;2877,49
0,34;2762,63
0,41;2708,23
0,48;2671,96
0,63;2611,50
0,75;2575,23
0,84;2551,05
0,93;2532,92
0,98;2514,78
1,04;2478,51
1,24;2369,70
1,41;2279,02
1,54;2224,62
1,71;2091,62
1,83;2085,58
1,96;2031,17
2,10;1946,54
2,22;1934,45
2,29;1867,95
2,35;1861,91
2,44;1861,91
2,49;1813,55
2,61;1795,41
2,79;1728,91
2,89;1662,42
3,01;1505,24
3,07;1408,52
3,18;1245,30
3,19;1620,10
3,21;1432,70
3,23;1269,48
3,25;1184,85
3,29;1130,44
3,31;1069,99
3,36;1027,68
3,41;930,95
3,45;870,50
3,48;1094,17
3,49;912,82
3,51;852,37
3,53;797,96
3,53;701,24
3,56;719,37
3,58;677,06
3,65;646,83
3,75;525,93
3,89;398,98
4,03;235,76
4,23;187,40
4,34;145,08
4,57;48,36
4,71;48,36
4,72;0,00
